Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
AVK,4,28.2575,6.2651,32.9606,5.3893,70,28.23,4.0818,-8.5979,1.1096,-0.0256,23.0468,3.7922,2.0530,4.2929,0.2450
AVL,2,58.7840,1.9556,56.4851,1.5182,3,1.21,24.1798,187.7645,1.1408,-0.0190,41.4501,81.3941,0.6408,0.2017,0.0414
AVN,4,24.7823,9.4804,21.6008,7.7430,103,41.53,2.3422,0.1838,1.1827,-0.0033,18.7741,2.8378,3.1066,6.4610,0.4270
AVO,1,55.2501,1.7669,55.3139,1.3106,1,0.40,25.4631,238.6945,0.0169,0.1756,0.0000,,0.5790,0.0185,0.0393
AVP,4,22.9027,12.4788,61.3170,1.9014,109,43.95,1.6140,0.9902,-0.3235,0.1427,-62.2510,2.0899,4.0892,8.7069,0.6196
AVT,1,55.0221,1.9166,51.9218,1.5326,3,1.21,23.3960,169.7842,0.2622,0.1339,0.0000,45.1311,0.6281,0.2319,0.0427
AVU,5,16.7518,6.8613,,,103,41.53,2.1696,1.4939,,,,2.8709,2.2484,4.6039,0.4609
AVY,5,28.3004,11.7214,31.6151,11.4104,109,43.95,2.0953,1.6726,1.0144,-0.0117,24.2118,2.7906,3.8410,7.8908,0.4773
AVZ,6,34.8343,4.8857,23.0478,4.5471,68,27.42,6.2439,-55.4221,0.9382,0.0429,32.5150,14.6675,1.6010,1.5297,0.1602
AYA,6,-6.7451,20.4260,-15.5246,28.6364,123,49.60,-0.3339,-0.3564,0.6510,0.0144,-10.4771,-0.4341,6.6933,15.4736,-2.9949
AYJ,3,26.4740,6.0850,42.8475,1.3285,85,34.27,3.8771,1.0229,0.7624,-0.0167,30.9433,4.7024,1.9940,3.8597,0.2579
AYR,1,54.3946,1.7437,55.7257,1.3109,0,0.00,25.4799,240.5693,0.0322,0.1706,0.0000,,0.5714,0.0000,0.0392
AZA,3,34.9918,6.0460,32.2778,5.5467,79,31.85,5.0715,-9.3414,0.9451,0.0152,32.4422,5.2995,1.9812,3.8436,0.1972
AZD,6,29.3835,6.3329,32.2910,5.5513,81,32.66,4.1637,-1.5878,1.0297,-0.0113,25.6087,4.6414,2.0752,4.1090,0.2402
AZF,1,59.0731,1.8456,56.9671,1.5433,0,0.00,25.7284,244.2939,-0.1091,0.2081,0.0000,,0.6048,0.0000,0.0389
AZH,6,-2.8894,24.5586,-3.1464,22.7787,130,52.42,-0.1102,-0.1136,1.0527,0.0018,-2.5716,-0.1461,8.0475,18.3691,-9.0720
AZJ,3,53.9680,5.3334,46.6799,5.2158,18,7.26,8.3230,18.1863,0.1613,0.1512,0.0000,8.6935,1.7477,1.6702,0.1201
AZK,3,33.8462,6.2119,32.2778,5.5467,79,31.85,4.7958,-3.6642,0.9895,0.0068,30.1065,5.2676,2.0356,3.8537,0.2085
AZL,2,57.9158,1.9324,54.6961,1.3257,3,1.21,24.1816,197.6475,1.0475,0.0011,44.6105,75.8765,0.6332,0.1327,0.0414
AZM,6,6.3150,5.0805,6.8380,4.7644,9,21.95,7.6123,-0.9109,0.9325,0.0056,41.4715,8.4308,1.6648,2.7871,0.1314
AZS,4,24.0793,9.4730,22.8476,7.4650,104,41.94,2.2806,0.1604,1.2325,-0.0146,17.5284,2.7493,3.1042,6.5099,0.4385
AZV,5,36.8061,8.2216,23.0478,4.5471,49,19.76,3.9089,-32.5146,0.5607,0.0808,57.3201,3.5245,2.6941,4.4115,0.2558
AZY,5,11.2563,10.3195,,,111,44.94,1.0073,0.9744,,,,1.4022,3.3816,7.2110,0.9928
BBH,6,-8.0791,25.4521,-3.1464,22.7787,127,51.21,-0.3311,-0.3599,1.0510,-0.0209,-8.0172,-0.4175,8.3403,19.4798,-3.0206
BEE,4,11.4622,13.3418,26.7545,7.1393,115,46.37,0.7966,0.5825,1.7903,-0.1249,5.9361,0.9941,4.3719,9.7690,1.2554
BEF,4,18.6491,12.8005,43.5542,1.3245,105,42.34,1.3174,0.7192,0.5188,-0.0091,32.5069,1.5435,4.1945,9.4862,0.7591
BEH,6,-6.3000,24.9393,-3.1464,22.7787,122,49.19,-0.2413,-0.2561,1.0832,-0.0109,-5.5546,-0.3108,8.1723,18.8430,-4.1450
BEI,4,30.9025,7.1993,42.8475,1.3285,85,34.27,3.7971,1.8425,1.1398,-0.0564,23.9832,4.5309,2.3591,4.4139,0.2634
BEK,3,32.0303,5.6996,32.2778,5.5467,61,24.60,4.9810,-11.8790,0.8796,0.0136,32.2755,4.3988,1.8677,3.8609,0.2008
BEO,5,12.1963,16.0838,44.9675,1.3175,105,42.34,0.7074,0.5166,0.3518,-0.0078,32.3389,0.8027,5.2705,12.3366,1.4136
BGE,4,25.4509,8.6418,26.7545,7.1393,91,36.69,2.6414,0.7567,1.0967,-0.0118,20.8134,3.1672,2.8318,5.9917,0.3786
BGK,4,40.6539,3.7290,32.2778,5.5467,54,21.77,9.2659,-14.2174,0.2751,0.1061,0.0000,9.7590,1.2219,2.0645,0.1079
BKB,4,32.6078,5.9797,34.7619,5.2176,89,35.89,4.7965,-5.8439,0.9763,-0.0034,29.3789,9.0953,1.9595,2.6512,0.2085
BNA,7,80.8534,17.0782,74.9057,21.0155,96,38.71,3.5559,5.3406,0.6586,0.0892,92.2119,6.2353,5.5963,9.5479,0.2812
BNB,3,44.9436,5.0254,53.0027,1.6815,45,18.15,7.4927,-9.7313,0.8026,0.0109,46.9173,7.0691,1.6468,3.0773,0.1335
