FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
ANK,59.252,2.0764,57.3439,1.5158,22.8957,152.1824,1.2097,-0.0336,39.2979,35.3605,0.6804,0.2696,0.0437,2
ANL,59.4323,1.9875,57.9431,1.648,23.9773,192.8867,1.167,-0.0271,40.8339,0,0.6513,0.0631,0.0417,1
ANP,21.4302,15.8092,56.6125,8.4613,1.3328,0.8399,-0.0058,0.0847,0,1.7359,5.1805,11.2291,0.7503,5
ANS,2.7646,24.0772,3.6765,22.8384,0.237,0.2186,1.0322,-0.0032,5.528,0.2933,7.8898,18.174,4.2195,6
ANZ,29.4445,4.7278,22.9966,4.602,5.5955,-55.9121,0.9592,0.0242,27.58,10.9406,1.5492,1.6555,0.1787,6
APG,15.1568,15.7984,19.8127,15.4399,0.9904,1.027,0.9776,-0.0141,16.0053,1.4238,5.1769,10.9004,1.0097,5
APP,48.7024,3.1431,33.0657,4.2098,12.9051,25.8841,0.1094,0.1483,0,23.9612,1.03,1.1905,0.0775,6
APT,33.8984,6.798,36.4059,4.5775,4.4176,-12.8985,1.348,-0.0509,22.2784,3.6668,2.2276,4.7281,0.2264,3
ARF,29.7479,9.4948,53.5454,1.7595,2.8472,0.2029,1.5249,-0.1578,17.7286,3.4847,3.1113,6.4302,0.3512,5
ARP,24.6549,21.6419,53.5454,8.4723,1.1472,1.1975,0.0159,0.0957,0,1.7899,7.0918,14.4092,0.8717,6
ATJ,-7.0424,24.7082,53.5454,8.4723,-0.177,-0.1863,-0.0159,-0.0146,0,-0.2268,8.0965,18.625,-5.6507,6
AUA,20.7792,15.3424,53.5454,1.7595,1.3325,1.2983,-0.2002,0.1159,0,1.8141,5.0275,10.6887,0.7505,3
AUG,33.2485,4.7784,,,6.156,2.5916,,,,9.7246,1.5658,2.3984,0.1624,5
AUT,44.0071,4.976,58.1444,1.7344,7.5076,-5.0566,0.9063,-0.0201,41.2227,9.0597,1.6306,2.6501,0.1332,3
AVB,32.4948,6.266,33.9192,6.1782,4.6152,-2.1401,0.9735,-0.0012,29.7061,5.0728,2.0533,3.8874,0.2167,6
AVC,-18.8819,26.1823,24.8643,18.1457,-0.6843,-0.697,0.6318,-0.1321,-28.3578,-1.0119,8.5796,18.9401,-1.4613,7
AVD,30.3694,11.8515,34.9706,11.5112,2.3434,1.8547,1.0164,-0.0159,27.325,3.1289,3.8836,7.9257,0.4267,5
AVE,7.232,22.5366,61.9969,1.9835,0.4295,0.3812,-0.7492,0.1849,-12.9195,0.5562,7.3849,16.5607,2.3284,6
AVG,30.7891,4.8394,32.6365,4.9803,5.6859,-3.064,0.9377,0.0014,29.3441,6.7907,1.5858,2.7119,0.1759,6
AVH,-4.9292,25.9648,-3.4609,25.839,-0.0683,-0.069,1.0048,-0.0061,-1.7638,-0.093,8.5083,18.9584,-14.6513,6
AVJ,55.1036,1.8298,42.6755,1.0926,24.5042,195.8788,1.5947,-0.0517,28.1161,,0.5996,0,0.0408,1
AVK,28.8777,6.2538,33.3964,5.3617,4.1722,-9.1809,1.1109,-0.0268,23.4862,3.8663,2.0493,4.2884,0.2397,4
AVL,59.4562,2.0423,56.9223,1.5764,23.3414,165.4897,1.1557,-0.0219,41.2485,82.0559,0.6692,0.2017,0.0428,2
AVN,27.7247,9.455,23.2767,7.7128,2.6891,-0.2443,1.1831,-0.0008,21.4899,3.2326,3.0983,6.3873,0.3719,4
AVO,55.8904,1.8454,55.0897,1.3824,24.5765,208.9024,0.0305,0.1746,0,,0.6047,0.0185,0.0407,1
AVP,27.5489,12.5329,61.9969,1.9835,2.0445,1.0421,-0.2127,0.1433,0,2.6444,4.1069,8.6045,0.4891,4
AVT,55.6765,1.9951,51.8067,1.5866,22.6638,154.764,0.2604,0.1354,0,45.5091,0.6538,0.2319,0.0441,1
AVU,19.1039,6.9669,,,2.5958,1.7194,,,,3.4607,2.283,4.5768,0.3852,5
AVY,31.7504,11.8245,34.9706,11.5112,2.4395,1.8826,1.0146,-0.0115,28.4307,3.2493,3.8747,7.8723,0.4099,5
AVZ,34.9043,4.9271,22.9966,4.602,6.2275,-52.0177,0.9377,0.0428,32.7237,14.9486,1.6145,1.5501,0.1606,6
AYA,-0.9205,20.3789,-9.2429,28.729,0.056,0.0553,0.6485,0.0193,1.7603,0.0725,6.6779,15.2485,17.8532,6
AYJ,29.0655,6.1487,43.2304,1.3837,4.2665,0.9701,0.7716,-0.0083,33.9973,5.177,2.0148,3.8452,0.2344,3
AYR,54.9727,1.8153,55.5061,1.3826,24.6515,213.9251,0.0436,0.1698,0,,0.5949,0,0.0406,1
AZA,36.1159,6.022,32.0736,5.5309,5.2571,-10.6076,0.9394,0.0192,33.7004,5.4547,1.9733,3.8223,0.1902,3
AZD,30.2567,6.3505,32.7442,5.5462,4.2807,-1.6811,1.0242,-0.0103,26.5424,4.7731,2.081,4.0973,0.2336,6
AZF,59.7397,1.9244,56.6509,1.6212,24.865,215.7463,-0.1,0.2081,0,,0.6306,0,0.0402,1
AZH,4.2887,24.5477,3.6765,22.8384,0.2982,0.2727,1.0494,0.0028,6.9757,0.3946,8.044,18.1047,3.3534,6
AZJ,55.0388,5.449,46.9081,5.2173,8.2447,18.99,0.1708,0.1516,0,8.7983,1.7856,1.6702,0.1213,3
AZK,35.3201,6.166,32.0736,5.5309,5.0386,-4.7099,0.9808,0.0122,31.6772,5.5078,2.0205,3.8033,0.1985,3
AZL,58.6017,2.011,54.9253,1.3739,23.4314,177.1286,1.0614,-0.0013,44.395,76.5117,0.659,0.1327,0.0427,2
AZM,7.2744,5.0226,7.7207,4.6261,8.2246,-0.6614,0.8954,0.0086,46.1349,9.0051,1.6458,2.6905,0.1216,6
AZS,27.2006,9.447,24.5804,7.4386,2.6468,-0.2994,1.2326,-0.0119,20.2859,3.1672,3.0956,6.4298,0.3778,4
AZV,37.0074,8.237,22.9966,4.602,3.9428,-32.5958,0.5706,0.0808,56.914,3.5985,2.6992,4.4206,0.2536,5
AZY,13.9834,10.3488,,,1.3423,1.2783,,,,1.8667,3.3912,7.2035,0.745,5
BBH,0.7252,25.666,3.6765,22.8384,0.1581,0.1516,1.0574,-0.0104,3.8365,0.2002,8.4104,19.2623,6.3265,6
BEE,15.4269,13.3169,29.0791,7.1646,1.1662,0.6944,1.7799,-0.1242,8.7254,1.4489,4.3638,9.6317,0.8575,4
BEF,24.4012,12.8193,43.9351,1.3797,1.8027,0.6856,0.6517,-0.0045,35.4602,2.1234,4.2007,9.3054,0.5547,4
